mel77,mel80,mel65,mel72,mel63,mel52,mel87,mel76,birthplace
1.0400458058286233e-05,6.03574488500336e-05,2.7181105824946133e-05,0.0008638440441145,0.0001187438213795,0.0001104222101271,6.577900559124523e-06,6.454554537211159e-05,morocco
1.574304019569224e-05,6.489526127449941e-05,3.258764393039652e-05,0.0008677155370944,0.0001201661996083,0.0001167686577436,1.276154157325398e-05,6.875416674600387e-05,morocco
3.508748288052079e-05,1.3184350035169552e-05,1.957619912961185e-05,8.12326862837508e-05,3.554814014400921e-05,6.6131565049871934e-06,8.377362817755169e-06,8.981708668391513e-05,morocco
1.521056904760241e-06,6.279333176264727e-06,2.9047567039677543e-05,1.5295600537919196e-05,1.4396795877347008e-05,1.826581365517117e-06,1.0556927745516743e-07,8.23421322374044e-07,germany
1.5552371944615146e-06,6.270888034459218e-06,2.9000640893889137e-05,1.526640208024921e-05,1.4433960345064751e-05,1.8231680209278803e-06,1.1889518390523589e-07,8.411237027751954e-07,germany
1.2323393035630765e-07,3.315217489092918e-07,4.025061472263414e-06,2.9876927579808405e-06,1.2707538173681773e-07,1.2235501568648282e-09,5.006083638179278e-07,3.2652825999004576e-07,germany
3.0671959744516927e-06,2.196323637391011e-07,1.0439657956419378e-05,1.7934150104088436e-06,2.5233653542621537e-05,3.42106980802988e-07,8.466653377752234e-08,1.1501966875214346e-05,usa
3.9246947411578016e-06,1.0446207592908772e-06,1.1240277782010207e-05,2.4377751528292807e-06,2.5752247688797542e-05,1.1164302564940505e-06,8.338260463050556e-07,1.2425424439120422e-05,usa
8.842669715319651e-07,2.2313957961601324e-06,3.798314897993658e-07,3.575710768995089e-06,8.952093268811352e-06,5.280106323640376e-06,1.0469458274725549e-07,6.002006128187564e-07,usa
0.0001607593005108,3.7281978469353844e-07,1.0054105091209195e-06,6.238706270109375e-06,5.410182080899109e-05,3.330988910461909e-06,2.4794965196023167e-05,0.0001889308500619,zimbabwe
0.0001604476704844,1.929522730163712e-06,2.45840045275697e-06,8.043826494765845e-06,5.745272203183187e-05,5.221425667374225e-06,2.6171951289738623e-05,0.0001893588010642,zimbabwe
1.7137770333866674e-05,1.3710112434149575e-06,3.3848294117323864e-05,5.165458222417883e-06,4.757240197345859e-07,4.293573396345834e-07,4.342922968335049e-06,2.4008877779724382e-05,zimbabwe
2.9201722118097496e-05,0.0002128716209062,2.496289015624084e-06,2.326521391978008e-06,2.3142560297958214e-06,4.4832511094245776e-05,2.192112641055761e-05,1.0884982621588935e-06,bolivia
3.0505599356484013e-05,0.0002122600990861,3.37983175453545e-06,3.1405549432499414e-06,3.3046693828551462e-06,4.495370909351733e-05,2.2892038975440676e-05,1.926906371686578e-06,bolivia
4.7062540878577574e-08,2.8779615315422926e-06,5.05263886694623e-07,2.059071663270795e-07,1.332102473578726e-06,1.828912838259308e-05,1.1172449807005206e-06,5.636233664267724e-08,bolivia
1.9075767811853176e-05,9.3794431866509e-06,0.0002023165973551,3.4844575946185635e-05,9.159063199811158e-05,4.396705194640924e-06,6.119446977028899e-06,0.000127318565006,czech republic
2.0885373686934492e-05,1.081209864731936e-05,0.0002025872830254,3.633637810871928e-05,9.327803261710744e-05,5.812672525219504e-06,7.624215560816446e-06,0.0001295471319409,czech republic
1.4449787794986436e-05,0.0001765478229324,2.4365668671546344e-05,1.5111853120965095e-05,4.72895470034318e-05,2.357564721945149e-06,1.762459568656848e-06,7.336139984518145e-05,czech republic
2.0015565390117763e-06,1.7778046059094185e-07,2.40197951572811e-05,3.346496673388353e-05,1.327579785354342e-05,1.013806036052267e-06,8.380953688556977e-08,3.9844569122777813e-07,rwanda
2.6896356406051607e-06,7.066982062342613e-07,2.4864526298258647e-05,3.409675908624134e-05,1.3614555307955849e-05,1.5134159420187798e-06,5.647780107382876e-07,9.158878412700492e-07,rwanda
3.797179839794309e-07,1.9087447016697598e-08,5.830192517577253e-07,8.772790023487559e-08,1.0273081983887274e-05,4.094000867994561e-07,4.772961435533119e-09,2.6330066316735047e-06,rwanda
1.829465044455996e-06,3.37048333934189e-05,4.683141257838583e-07,2.473940234210605e-06,2.9396501794162165e-07,2.4186381328534398e-05,3.6901979470768434e-06,1.2280255162906342e-05,colombia
2.4248449898261007e-06,3.4718202947985466e-05,1.1344534572946308e-06,3.124671625619377e-06,9.946486862624044e-07,2.504209470793603e-05,4.506847117958955e-06,1.2916116847181094e-05,colombia
2.9629383167718792e-06,1.1880124185930718e-06,9.716107831335665e-08,1.659407954345484e-05,8.900265161434378e-08,1.8917368597628e-07,4.03982944051981e-07,1.205398464089213e-07,colombia
1.722865007679028e-05,0.000156312354875,3.97372179674838e-06,2.1158384603707693e-05,4.769641076034876e-05,1.750578149313868e-07,0.0001264692775759,2.292036754627777e-05,indonesia
1.787494110841002e-05,0.0001580215990166,4.996576803677311e-06,2.230463802356249e-05,4.8017973206396335e-05,1.239607101836237e-06,0.0001291716513802,2.3628495392805148e-05,indonesia
3.901655637982443e-06,0.0001148216446582,9.879272736886574e-06,1.903713695105912e-06,2.9691072792746457e-07,4.8832871467240546e-08,2.592512680103293e-07,2.5601526799637546e-06,indonesia
5.369369355487745e-05,6.927344406023941e-05,6.762905307421047e-06,0.0006207153724404,7.940497581591568e-05,4.1820319969768654e-05,4.150255675537204e-05,2.548268903392087e-05,chile
5.623659022229809e-05,7.164404208759195e-05,8.636356159714317e-06,0.0006208457650843,8.245797782553639e-05,4.226973095467811e-05,4.463511012778071e-05,2.786695004123375e-05,chile
3.627574091740708e-06,8.852181724626587e-06,1.5246008045257277e-05,5.290609055277515e-05,5.475188532854439e-06,2.136870561670304e-05,1.3597560557997686e-05,1.475771406270498e-05,chile
7.54137583608184e-05,9.019397816595542e-06,7.247720523584326e-06,0.0001055833506623,4.286672437629884e-05,2.3362018280723145e-05,6.254165208228638e-07,0.0001317600927454,armenia
7.53594205496877e-05,9.013518952844623e-06,7.232943442536923e-06,0.0001057109463968,4.298164546497957e-05,2.3372791261570143e-05,6.472278767366601e-07,0.0001319093539229,armenia
1.4811114464582164e-05,1.3648467596802805e-06,1.6699492533855525e-05,1.9406632377586253e-05,1.8980816153953048e-06,8.257259879002403e-07,2.820900597194865e-07,0.0001979971600879,armenia
4.0143396768980415e-06,3.331525319379589e-07,5.875533788157815e-07,2.075082255314134e-06,1.8123727181778711e-06,5.370341257645187e-07,5.904307855061977e-07,3.3735602700366683e-06,uk
4.0115415020079405e-06,3.5346559595743364e-07,6.066420826352996e-07,2.088344984766628e-06,1.8280040600330449e-06,5.535085856339713e-07,6.09403522522207e-07,3.378603284444066e-06,uk
5.128278544239205e-07,8.250066883179508e-08,3.200498101511957e-07,1.850728591344144e-07,5.9414866812180423e-08,1.353426071024449e-07,5.529661492150239e-07,3.4746604504366055e-07,uk
1.3480600101219549e-05,3.862909990600245e-05,0.0001748658420381,0.0001021389098768,0.0001582568944697,1.8039338453042915e-09,7.838522553221127e-07,1.8355868219095863e-06,netherlands
1.556133856432417e-05,3.999063890242094e-05,0.0001758626662358,0.000103861673593,0.000163153023562,1.7984055699576355e-06,2.5961924178154443e-06,3.9624744313364405e-06,netherlands
6.020860116510094e-07,2.333103977839862e-05,7.123158735746739e-05,0.0001779845831307,6.413107453651069e-06,1.2716915737524525e-06,1.9784690083593677e-06,1.0257772313422096e-05,netherlands
6.44285524064194e-05,2.511632298916397e-07,1.1252800081455945e-07,5.217613404653386e-06,3.587769480967977e-05,2.535792466229178e-07,2.369741691319545e-05,3.913000202357812e-05,mexico
6.445754060441298e-05,2.882640041534984e-07,1.6200944206420859e-07,5.198227475540824e-06,3.5761412019071576e-05,2.8319610044431736e-07,2.3627559138650368e-05,3.928582245155949e-05,mexico
3.197414459829641e-06,7.889169352433645e-07,8.121540558764399e-06,1.3689128590809932e-05,5.487685576127256e-06,7.022083936600555e-09,1.3855050162466616e-06,4.074991922990032e-07,mexico
1.1599738088151154e-06,6.601143776474364e-07,2.763276967109577e-06,8.985833089090791e-05,1.3237844981397334e-06,1.9454028313702303e-06,2.026975368450564e-06,5.582700098174486e-05,usa
1.2821712241984664e-06,8.00313980820278e-07,2.769485993214396e-06,8.982970280600791e-05,1.451434651788955e-06,2.0932206896865237e-06,2.1719361428738347e-06,5.622853306703699e-05,usa
1.574749020168348e-05,1.0702708100938262e-05,3.1086145504254e-07,3.9428973965698244e-07,1.7324725289067206e-07,6.965279115885111e-06,4.891681375150224e-09,1.1237840093048754e-06,usa
2.28557835278922e-06,2.619330712531685e-05,7.276284732876346e-06,8.136950215944443e-06,7.246986519785902e-07,0.0001003223194433,7.483734879299624e-06,4.084495545555151e-06,costa rica
2.395679343339301e-06,2.618265574579799e-05,7.43761634633658e-06,8.196222954715346e-06,8.374441232103609e-07,0.0001002173588237,7.584117798992357e-06,4.30812450916753e-06,costa rica
5.107528267474216e-07,3.902871434939317e-06,6.810632095626041e-07,1.3687571462373946e-06,2.6082047631654877e-06,6.592922638141959e-07,5.178084962958193e-06,1.29477267321051e-07,costa rica
3.384650143048736e-05,0.0001519715156117,2.7567962307617174e-06,0.0001110988454991,1.339767667016638e-06,0.0005027844007273,5.947695318583662e-07,1.485275033277582e-05,turkey
3.457331364123359e-05,0.0001518684750803,2.969331393640349e-06,0.0001111948758502,1.6044358539636708e-06,0.0005028216010623,8.945604638742242e-07,1.5258839458863833e-05,turkey
4.050065203694993e-06,1.5106870720778262e-05,5.208730933806915e-07,4.409531580789141e-05,6.10563025194594e-07,1.5118170538913535e-05,3.898238451291188e-06,2.3085973948053067e-06,turkey
4.9877292314046216e-05,0.0001877415753087,1.4187645824890136e-05,7.826243388490178e-07,3.830088474979451e-05,1.6315218232151206e-06,1.3764221716353375e-05,2.4475277798354177e-05,usa
5.033584061703765e-05,0.0001892568598992,1.468369497219725e-05,1.3662610776238282e-06,3.903217285319607e-05,1.996809492705193e-06,1.4430114102135652e-05,2.511607847065453e-05,usa
5.215188293911908e-06,9.279948558289695e-06,2.277679742363665e-05,1.1819280085278504e-05,6.887291334118429e-08,2.4093665028607894e-05,1.153850820397384e-05,3.181161879521095e-06,usa
4.008344854952396e-05,2.0294044094334936e-05,1.4021951230578008e-06,0.0002775091870258,2.117446381249898e-06,5.452431862475886e-06,9.536023010655731e-06,0.0001840442289332,malta
4.2027439756552085e-05,2.20001961041106e-05,2.6643532501510017e-06,0.0002767120220313,3.168674948100741e-06,7.111594745850165e-06,1.0738252784866374e-05,0.000184409151708,malta
7.070572616725231e-05,7.02516116452138e-06,1.147673995523803e-06,4.953398130741813e-06,7.137651683011444e-07,1.8822073990352412e-06,1.91851525329655e-05,3.5812243863340215e-05,malta
0.0001582483077816,0.0001904008063632,4.243873598174316e-07,5.7942695859286626e-08,7.3456305925736e-05,0.0002614876874988,1.2843031596743583e-06,1.0692800649690192e-05,india
0.000162764705683,0.0001968461023849,3.514125107902191e-06,2.8986325602896845e-06,7.833760602997649e-05,0.0002679920555617,4.149456122273524e-06,1.3843419082350771e-05,india
9.598260272074705e-08,3.65531585591809e-07,1.41284390010837e-05,4.067879592635824e-06,5.107276946777334e-05,1.5568107674332758e-06,4.655485964908447e-06,9.583649307562074e-06,india
1.2255507110183503e-06,8.507342087830888e-06,1.4147846759600891e-05,2.981073205976993e-06,9.124805870594494e-05,1.9710766331071928e-08,4.066090206001405e-05,1.146629757750278e-05,ukraine
1.266895860747684e-06,8.526161850293844e-06,1.417909573901575e-05,2.9837758348608984e-06,9.10926956442552e-05,5.5954036757966444e-08,4.078638039727718e-05,1.1551899959468693e-05,ukraine
1.3383631883281586e-06,4.107594129716001e-06,1.1752302374140046e-05,3.826675749667441e-08,5.730618901973569e-06,1.7806669945881895e-06,7.636856639971007e-07,6.020720785190638e-08,ukraine
1.8367053454648156e-06,6.139701260341458e-06,3.883232626941089e-05,1.230000650956934e-05,3.5507834133510816e-05,4.1374424465219965e-05,2.9944638630703408e-06,3.0032757152654824e-06,malaysia
1.8493101332503048e-06,6.212058369507055e-06,3.895281054006435e-05,1.2263536851025133e-05,3.547429503860425e-05,4.125511126877575e-05,3.010279427193093e-06,3.043834524401673e-06,malaysia
5.191881039544669e-07,1.148027443006039e-06,7.034572720630348e-05,0.0001188439014048,3.389796300085068e-06,0.0001723251429473,2.1587548818571425e-05,1.709920309984626e-07,malaysia
3.67343926864804e-07,3.509084270421145e-07,3.150698391077413e-05,3.242578063194471e-05,5.810017474788564e-06,8.363956183107494e-05,1.7821403834408243e-05,7.52785514108448e-06,usa
4.624483788597313e-07,4.632186705935233e-07,3.1300771721111705e-05,3.252756257592682e-05,5.853594658117981e-06,8.415218556142085e-05,1.793779059387394e-05,7.638204370502653e-06,usa
2.9641920104670658e-06,3.950138663362599e-06,2.3366275129939737e-06,7.019175577055455e-08,1.4817780318982124e-05,1.0100803829511549e-05,2.200222315137625e-07,3.788886463790434e-07,usa
0.0001823949661184,3.1487136627559804e-07,3.7410855743751165e-05,0.0001511316178515,5.612072959268004e-07,1.3977221287457542e-05,1.245854659129978e-05,0.0007773669438274,belgium
0.000183333953225,1.5087282787548302e-06,3.797447315425578e-05,0.0001528165956962,1.7374409966300756e-06,1.4522995016928976e-05,1.3097120933887733e-05,0.0007740866724201,belgium
4.070649956150511e-05,5.8835445994086784e-08,3.1424562107068484e-07,7.622151104014945e-05,6.529220637996197e-06,1.473768029983757e-07,1.6318236359200517e-06,0.0001148970555024,belgium
0.000322764402177,1.3481970373361754e-05,2.8343277908450385e-06,0.0006479413575439,2.194715237585825e-06,2.100656314898031e-06,5.27745242968655e-06,0.0006099075134569,belgium
0.0003229663125148,1.3498735061249804e-05,2.840822037933297e-06,0.0006477372569775,2.2310970105203498e-06,2.114735568566793e-06,5.3074385390401895e-06,0.0006100657781095,belgium
0.0002230762632241,2.913162667929314e-05,1.199608851515762e-06,1.8898499271809765e-06,4.764091944718573e-07,1.5492841775142005e-07,1.584987780536048e-05,0.0003228189978545,belgium
1.2399275195705931e-06,4.6377803708019696e-06,2.3425858944270773e-08,8.393252356927184e-06,0.0001638721169638,1.6943624463323878e-06,5.471926125673761e-06,1.2421589094050516e-06,uk
1.6571085539552242e-06,5.021849680728091e-06,4.15252172748344e-07,8.667259221220244e-06,0.0001645717354165,2.173201866581637e-06,5.889183854045374e-06,1.7311539174692188e-06,uk
2.48107779072717e-07,6.938652467870726e-06,5.34896259420371e-06,6.568400571078626e-07,1.2865803267983087e-05,1.2399418680354696e-08,6.235044817821452e-07,1.7125239448886027e-06,uk
4.124749867689888e-06,1.0522738425075496e-05,0.0002189819220497,3.104139655672333e-05,3.31669320012448e-05,5.487783139770942e-06,3.652009713892482e-07,1.8592912980263109e-06,usa
8.325495181801346e-06,1.3912522689769284e-05,0.000221695714386,3.473713301091819e-05,3.662437706591814e-05,9.812322780164088e-06,4.501790562473638e-06,5.896112368858153e-06,usa
3.6009634828902416e-06,1.0632556620082094e-06,1.0708917544504949e-05,1.6180595580863307e-06,3.0964573624440655e-05,1.8989108141419096e-06,4.821999958379955e-08,6.689334775599674e-06,usa
3.5759608114492275e-05,6.083440844598136e-05,0.000661134686789,1.0776981903446747e-06,3.598443723201433e-05,2.0393599985831576e-05,8.704179938199984e-06,4.127912070153959e-05,philippines
3.6721520873052185e-05,6.14214652922688e-05,0.0006604802155066,1.702993346786027e-06,3.6396388439373415e-05,2.053247658421602e-05,9.148749617215456e-06,4.230683934003636e-05,philippines
1.2537281402296536e-05,7.042929935518545e-06,5.43540906341172e-06,5.957919013256805e-07,4.775782312304131e-06,4.361533184977985e-06,4.389891637810696e-06,1.662780847314196e-05,philippines
7.45159640328715e-05,0.0001304895987677,9.00110917623976e-06,2.0609221242890096e-05,4.322040022999344e-06,0.000902091019542,1.5281131204579608e-06,0.000172904300083,usa
7.563271858080536e-05,0.0001305637696488,1.012689724121154e-05,2.1675390913081807e-05,5.4710781028421206e-06,0.0008985160809914,2.5523137323113227e-06,0.0001742752771824,usa
2.2799301607977983e-05,1.408794800682256e-06,2.874573075377948e-06,2.085806993356765e-06,1.809520018114803e-07,6.320381647322178e-06,1.217650985787124e-05,1.8118724094711872e-06,usa
1.1311808323380727e-05,2.1604575963176774e-06,9.0040445224936e-07,1.3199544545105576e-06,5.428876755889809e-06,3.255978539366645e-08,0.0031412118910965,6.957562543039601e-07,usa
1.1584621070748994e-05,2.7230757728895472e-06,1.4090593413241809e-06,1.7415669230565375e-06,5.691653776962327e-06,5.105939536532799e-07,0.003143201055904,1.1408399792394982e-06,usa
